"job_title","company_name","job_location","salary_year_avg"
"Director of Analytics","Meta","Anywhere","336500.0"
"Associate Director- Data Insights","AT&T","Anywhere","255829.5"
"Partner Technology Manager, Data Analytics and AI","Google","Austin, TX","254000.0"
"Investigations and Insights Lead Data Analyst - USDS","TikTok","New York, NY","239777.5"
"Investigations and Insights Lead Data Analyst - USDS","TikTok","New York, NY","239777.5"
"Reference Data Analyst","Selby Jennings","New York, NY","225000.0"
"E-commerce Data Analyst","TikTok","San Jose, CA","224500.0"
"Data Analyst Manager, TikTok-US-Data Security","TikTok","Los Angeles, CA","222500.0"
"TikTok Shop - Data Analyst","TikTok","San Jose, CA","222093.5"
"Lead Data Analyst LIVE - USDS","TikTok","Los Angeles, CA","217550.0"
