"job_title","company_name","job_location","salary_year_avg"
"Director of Analytics","Meta","Anywhere","336500.0"
"Associate Director- Data Insights","AT&T","Anywhere","255829.5"
"Director, Data Analyst - HYBRID","Inclusively","Anywhere","189309.0"
"ERM Data Analyst","Get It Recruit - Information Technology","Anywhere","184000.0"
"Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","Kelly Science, Engineering, Technology & Telecom","Anywhere","170000.0"
"DTCC Data Analyst","Robert Half","Anywhere","170000.0"
"REMOTE Director of Data Analytics","A-Line Staffing Solutions","Anywhere","170000.0"
"Manager, Data Analyst","Uber","Anywhere","167000.0"
"Data Analyst","Get It Recruit - Information Technology","Anywhere","165000.0"
"Principal Data Science Analyst- Remote","Mayo Clinic","Anywhere","164746.0"
