"skills","avg_salary","demand_count"
"databricks","141907","10"
"go","115320","27"
"confluence","114210","11"
"hadoop","113193","22"
"snowflake","112948","37"
"azure","111225","34"
"bigquery","109654","13"
"aws","108317","32"
"java","106906","17"
"ssis","106683","12"
"jira","104918","20"
"oracle","104534","37"
"dax","104500","10"
"looker","103795","49"
"nosql","101414","13"
"python","101397","236"
"r","100499","148"
"redshift","99936","16"
"qlik","99631","13"
"tableau","99288","230"
"ssrs","99171","14"
"spark","99077","13"
"c++","98958","11"
"sas","98902","126"
"sql server","97786","35"
